Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,CurrencyIsoCode,Name,CloseDate,StageName
Xaxis,a0063000002sxdWAAQ,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfwhAAD,DKK,TSE Data Processing Limited - DENMARK-Betfair/Uge 35-36 2016/TV+Web TV Reach,"Sep 17, 2016",Closed Won
Xaxis,a0063000002sxdWAAQ,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfwhAAD,DKK,TSE Data Processing Limited - DENMARK-Betfair/Uge 39-40 2016/TV+WebTV Teach,"Oct 9, 2016",Closed Won
Xaxis,a0063000002sxdWAAQ,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfwhAAD,DKK,TSE Data Processing Limited - DENMARK-Betfair/Uge 43-44 2016(/TV + Web TV,"Nov 6, 2016",Closed Won
Xaxis,a0063000002sxdxAAA,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfxPAAT,DKK,Watch Medier A/S - Shippingwatch - Geo-target campaign,"Oct 11, 2015",Closed Won
Xaxis,a0063000002sxdyAAA,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfxQAAT,DKK,WebCRM - QUISMA - Display Testkampagne - 2016,"Oct 1, 2016",Closed Won
Xaxis,a0063000002sxdYAAQ,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXfwkAAD,DKK,Tycho Brahe Planetarium - Tycho Brahe - Det vilde Amerika 2016,"Mar 31, 2016",Closed Won
Xaxis,a0063000002sxdZAAQ,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfwlAAD,DKK,Tysk Turist Information - Naturkampagne H1 2016 - Online,"Sep 18, 2016",Closed Won
Xaxis,a0063000002sxe0AAA,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfxSAAT,DKK,Witt Hvidevarer A/S - Witt - 2016 - Slow Juicer NO,"Aug 31, 2016",Closed Won
Xaxis,a0063000002sxe1AAA,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfxTAAT,DKK,"ZBC - ZBC - EUD, EUX, GAME, GYM Kampagne Februar 2016","Mar 1, 2016",Closed Won
Xaxis,a0063000002sxW3AAI,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfiiAAD,DKK,A/S Arbejdernes Landsbank - Arbejdernes Landsbank - Bolig Bonus - September 20,"Oct 2, 2016",Closed Won
