Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000emtN0AAI,TurkeyOpp-1385,Xaxis TV,2016-04-14,2016-04-30,684.66,Vodafone0416_Heroes_Samsung_7_Preroll_Reklamstore_MS,Net Cost (Calc Margin),MediaTrader,Reklamstore,50000,342.33,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.5,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1500,012i0000001EB0yAAG
0063100000emtN0AAI,TurkeyOpp-19,Xaxis TV,2016-04-14,2016-04-30,1445.85,Vodafone0416_Heroes_Samsung_7_Preroll_Matrouge_MS,Net Cost (Calc Margin),MediaTrader,Matrouge,50000,963.9,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.3333,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1500,012i0000001EB0yAAG
0063100000emtLuAAI,TurkeyOpp-469,Xaxis Display Plus,2016-04-04,2016-04-15,1160,Vodafone0416_Project_atina_Buyback_LG_interest_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,2000000,400,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.6552,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG
0063100000emtN1AAI,TurkeyOpp-1408,Xaxis Display Plus,2016-04-09,2016-04-30,275.39,Vodafone0416_Red_Beymen_interest_Clickvol_MS,Net Cost (Calc Margin),MediaTrader,Clickvol,500000,98.35,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.6429,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,700,012i0000001EB0yAAG
0063100000emtN1AAI,TurkeyOpp-939,Xaxis Display Plus,2016-04-09,2016-04-30,1400.18,Vodafone0416_Red_Beymen_interest_Medyanet_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,500,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.6429,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1400,012i0000001EB0yAAG
0063100000emtN1AAI,TurkeyOpp-18,Xaxis Display Plus,2016-04-09,2016-04-30,904.85,Vodafone0416_Red_Beymen_interest_Sem_MS,Net Cost (Calc Margin),MediaTrader,Sem Digital,500000,100,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.8895,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,700,012i0000001EB0yAAG
0063100000emtN1AAI,TurkeyOpp-2403,Xaxis Display Plus,2016-04-09,2016-04-30,1020,Vodafone0416_Red_Beymen_interest_Commedya_MS,Net Cost (Calc Margin),MediaTrader,Commedya,500000,50,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.951,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,700,012i0000001EB0yAAG
0063100000emtN1AAI,TurkeyOpp-1696,Xaxis Display Plus,2016-04-09,2016-04-30,6399.75,Vodafone0416_Red_Beymen_interest_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,5000000,914.25,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.8571,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,7000,012i0000001EB0yAAG
0063100000emtN2AAI,TurkeyOpp-541,Xaxis Display Plus,2016-04-13,2016-04-30,2045,Vodafone0416_Residental_Tablet_interest_Medyanet_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,3500000,350,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.8289,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,2800,012i0000001EB0yAAG
0063100000emtN2AAI,TurkeyOpp-1736,Xaxis Display Plus,2016-04-13,2016-04-30,2287.84,Vodafone0416_Residental_Tablet_interest_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,3500000,1429.9,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.375,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,2800,012i0000001EB0yAAG
0063100000emtN2AAI,TurkeyOpp-1502,Xaxis Display Plus,2016-04-13,2016-04-30,462.08,Vodafone0416_Residental_Tablet_interest_Adhood_MS,Net Cost (Calc Margin),MediaTrader,Adhood,500000,75,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.8377,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,400,012i0000001EB0yAAG
