Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
0063100000ejrKoAAI,TurkeyOpp-537,Xaxis Tv,2016-05-27,2016-05-31,1200,GSK0516_Parodontax_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,30000,1200,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.04,cpv,0.75,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKoAAI,TurkeyOpp-536,Xaxis Tv,2016-05-27,2016-05-31,4000,GSK0516_Parodontax_Preroll_Nokta_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Nokta,100000,2825,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.04,cpv,0.5752,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKpAAI,TurkeyOpp-459,Xaxis SYNC,2016-05-11,2016-05-31,15015,KFC0516_2Box_Set_SYNC_Clipkit_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Clipkit,231000,15000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.065,cpv,0.4302,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKqAAI,TurkeyOpp-535,Xaxis Rich Media,2016-05-25,2016-05-31,1062.5,Vestel0516_Euro_2016_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,250000,1062.5,Externally Managed,Triggers,Interstitial,4.25,cpm,0.6471,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrKqAAI,TurkeyOpp-534,Xaxis Rich Media,2016-05-25,2016-05-31,1275,Vestel0516_Euro_2016_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,300000,1291.5,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8839,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrKrAAI,TurkeyOpp-544,Xaxis Display Plus,2016-05-27,2016-05-31,600,Vodafoen0516_Project_Tolkien_interest_Bond_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,750000,600,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.375,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKrAAI,TurkeyOpp-545,Xaxis Display Plus,2016-05-27,2016-05-31,1200,Vodafoen0516_Project_Tolkien_interest_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,1500000,455,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.3407,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKsAAI,TurkeyOpp-472,Xaxis Lookalike,2016-05-13,2016-05-31,1300,Vodafone0516_Big_Bang_Faz2_Lal_Medyanet_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1000000,1300,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9231,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKsAAI,TurkeyOpp-475,Xaxis Lookalike,2016-05-13,2016-05-31,1300,Vodafone0516_Big_Bang_Faz2_Lal_Commedya_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Commedya,1000000,1300,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9231,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKsAAI,TurkeyOpp-474,Xaxis Lookalike,2016-05-13,2016-05-31,325,Vodafone0516_Big_Bang_Faz2_Lal_matrouge_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Matrouge,250000,325,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.5385,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKsAAI,TurkeyOpp-469,Xaxis Lookalike,2016-05-13,2016-05-31,1300,Vodafone0516_Big_Bang_Faz2_Lal_Appnexus_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Appnexus,1000000,1170,Externally Managed,Triggers,Selected Sites,1.3,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKsAAI,TurkeyOpp-471,Xaxis Lookalike,2016-05-13,2016-05-31,2600,Vodafone0516_Big_Bang_Faz2_Lal_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,2000000,2600,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.8462,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKsAAI,TurkeyOpp-473,Xaxis Lookalike,2016-05-13,2016-05-31,325,Vodafone0516_Big_Bang_Faz2_Lal_Sem_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Sem Digital,250000,325,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.8462,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKsAAI,TurkeyOpp-476,Xaxis Rich Media,2016-05-13,2016-05-31,780,Vodafone0516_Big_bang_Faz2_interstitial_medyanet_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,600000,780,Externally Managed,Triggers,Interstitial,1.3,cpm,0.6154,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
